Date,High,Low
2022-10-31,3893.72998046875,3863.179931640625
2022-11-01,3911.7900390625,3843.800048828125
2022-11-02,3894.43994140625,3758.679931640625
2022-11-03,3750.590087890625,3698.14990234375
2022-11-04,3796.340087890625,3708.840087890625
2022-11-07,3813.949951171875,3764.699951171875
2022-11-08,3859.39990234375,3786.280029296875
2022-11-09,3818.199951171875,3744.219970703125
2022-11-10,3958.330078125,3859.889892578125
2022-11-11,4001.47998046875,3944.820068359375
2022-11-14,4008.969970703125,3956.39990234375
2022-11-15,4028.840087890625,3953.169921875
2022-11-16,3983.090087890625,3954.340087890625
2022-11-17,3954.330078125,3906.5400390625
2022-11-18,3979.889892578125,3935.97998046875
2022-11-21,3962.0,3933.340087890625
2022-11-22,4005.8798828125,3956.8798828125
2022-11-23,4033.780029296875,3998.659912109375
2022-11-25,4034.02001953125,4020.760009765625
2022-11-28,4012.27001953125,3955.77001953125
2022-11-29,3976.77001953125,3937.64990234375
2022-11-30,4080.110107421875,3938.580078125
2022-12-01,4100.509765625,4050.8701171875
2022-12-02,4080.47998046875,4026.6298828125
2022-12-05,4052.449951171875,3984.489990234375
2022-12-06,4001.510009765625,3918.389892578125
2022-12-07,3957.570068359375,3922.679931640625
2022-12-08,3974.18994140625,3935.830078125
2022-12-09,3977.02001953125,3933.0400390625
2022-12-12,3990.7099609375,3935.300048828125
2022-12-13,4100.9599609375,3993.030029296875
2022-12-14,4053.760009765625,3965.64990234375
2022-12-15,3958.3701171875,3879.449951171875
2022-12-16,3890.909912109375,3827.909912109375
2022-12-19,3854.860107421875,3800.0400390625
2022-12-20,3838.239990234375,3795.6201171875
2022-12-21,3889.820068359375,3839.489990234375
2022-12-22,3853.260009765625,3764.489990234375
2022-12-23,3845.800048828125,3797.010009765625
2022-12-27,3846.64990234375,3813.219970703125
2022-12-28,3848.320068359375,3780.780029296875
2022-12-29,3858.18994140625,3805.449951171875
2022-12-30,3839.85009765625,3800.340087890625
2023-01-03,3878.4599609375,3794.330078125
2023-01-04,3873.159912109375,3815.77001953125
2023-01-05,3839.739990234375,3802.419921875
2023-01-06,3906.18994140625,3809.56005859375
2023-01-09,3950.570068359375,3890.419921875
2023-01-10,3919.830078125,3877.2900390625
2023-01-11,3970.070068359375,3928.5400390625
2023-01-12,3997.760009765625,3937.56005859375
2023-01-13,4003.949951171875,3947.669921875
2023-01-17,4015.389892578125,3984.570068359375
2023-01-18,4014.159912109375,3926.590087890625
2023-01-19,3922.93994140625,3885.5400390625
2023-01-20,3972.9599609375,3897.860107421875
2023-01-23,4039.31005859375,3971.639892578125
2023-01-24,4023.919921875,3989.7900390625
2023-01-25,4019.550048828125,3949.06005859375
2023-01-26,4061.570068359375,4013.2900390625
2023-01-27,4094.2099609375,4048.699951171875
2023-01-30,4063.85009765625,4015.550048828125
2023-01-31,4077.159912109375,4020.43994140625
2023-02-01,4148.9501953125,4037.199951171875
2023-02-02,4195.43994140625,4141.8798828125
2023-02-03,4182.35986328125,4123.35986328125
2023-02-06,4124.6298828125,4093.3798828125
2023-02-07,4176.5400390625,4088.389892578125
2023-02-08,4156.85009765625,4111.669921875
2023-02-09,4156.22998046875,4069.669921875
2023-02-10,4094.360107421875,4060.7900390625
2023-02-13,4138.89990234375,4092.669921875
2023-02-14,4159.77001953125,4095.010009765625
2023-02-15,4148.10986328125,4103.97998046875
2023-02-16,4136.5400390625,4089.489990234375
2023-02-17,4081.510009765625,4047.949951171875
2023-02-21,4052.35009765625,3995.18994140625
2023-02-22,4017.3701171875,3976.89990234375
2023-02-23,4028.300048828125,3969.18994140625
2023-02-24,3978.25,3943.080078125
2023-02-27,4018.050048828125,3973.550048828125
2023-02-28,3997.5,3968.97998046875
2023-03-01,3971.72998046875,3939.050048828125
2023-03-02,3990.840087890625,3928.159912109375
2023-03-03,4048.2900390625,3995.169921875
2023-03-06,4078.489990234375,4044.610107421875
2023-03-07,4050.0,3980.31005859375
2023-03-08,4000.409912109375,3969.760009765625
2023-03-09,4017.81005859375,3908.699951171875
2023-03-10,3934.050048828125,3846.320068359375
2023-03-13,3905.050048828125,3808.860107421875
2023-03-14,3937.2900390625,3873.6298828125
2023-03-15,3894.260009765625,3838.239990234375
2023-03-16,3964.4599609375,3864.110107421875
2023-03-17,3958.909912109375,3901.27001953125
2023-03-20,3956.6201171875,3916.889892578125
2023-03-21,4009.080078125,3971.18994140625
2023-03-22,4039.489990234375,3936.169921875
2023-03-23,4007.659912109375,3919.050048828125
2023-03-24,3972.739990234375,3909.159912109375
2023-03-27,4003.830078125,3970.489990234375
2023-03-28,3979.199951171875,3951.530029296875
2023-03-29,4030.590087890625,3999.530029296875
2023-03-30,4057.85009765625,4032.10009765625
2023-03-31,4110.75,4056.179931640625
2023-04-03,4127.66015625,4098.7900390625
2023-04-04,4133.1298828125,4086.8701171875
2023-04-05,4099.68994140625,4072.56005859375
2023-04-06,4107.31982421875,4069.840087890625
2023-04-10,4109.5,4072.550048828125
2023-04-11,4124.259765625,4102.60986328125
2023-04-12,4134.3701171875,4086.93994140625
2023-04-13,4150.259765625,4099.39990234375
2023-04-14,4163.18994140625,4113.2001953125
2023-04-17,4151.72021484375,4123.18017578125
2023-04-18,4169.47998046875,4140.35986328125
2023-04-19,4162.56982421875,4134.490234375
2023-04-20,4148.56982421875,4114.56982421875
2023-04-21,4138.02001953125,4113.85986328125
2023-04-24,4142.41015625,4117.77001953125
2023-04-25,4126.43017578125,4071.3798828125
2023-04-26,4089.669921875,4049.35009765625
2023-04-27,4138.240234375,4075.2900390625
2023-04-28,4170.06005859375,4127.18017578125
2023-05-01,4186.919921875,4164.1201171875
2023-05-02,4164.10009765625,4089.719970703125
2023-05-03,4148.2998046875,4088.860107421875
2023-05-04,4082.610107421875,4048.280029296875
2023-05-05,4147.02001953125,4084.72998046875
2023-05-08,4142.2998046875,4123.81005859375
